iter,T,current_profit,best_profit,neighbor_profit,accepted
169,3.29008,27489,27489,27473.2,0
170,3.22428,27489,27489,27438.1,0
171,3.1598,27489,27489,27413.7,0
172,3.0966,27489,27489,27423.8,0
173,3.03467,27489,27489,27439.5,0
174,2.97397,27489,27489,27330.8,0
175,2.91449,27489,27489,27483.1,0
176,2.8562,27489,27489,27364.7,0
177,2.79908,27489,27489,27330.8,0
178,2.7431,27489,27489,27493.6,1
179,2.68824,27493.6,27493.6,27425.4,0
180,2.63447,27493.6,27493.6,27482.2,0
181,2.58178,27493.6,27493.6,27450.2,0
182,2.53015,27493.6,27493.6,27401.3,0
183,2.47954,27493.6,27493.6,27449.3,0
184,2.42995,27493.6,27493.6,27452,0
185,2.38135,27493.6,27493.6,27535.5,1
186,2.33373,27535.5,27535.5,27493.8,0
187,2.28705,27535.5,27535.5,27458.8,0
188,2.24131,27535.5,27535.5,27520.9,0
189,2.19649,27535.5,27535.5,27520.1,0
190,2.15256,27535.5,27535.5,27506.1,0
191,2.1095,27535.5,27535.5,27525.5,0
192,2.06731,27535.5,27535.5,27465.8,0
193,2.02597,27535.5,27535.5,27417.5,0
194,1.98545,27535.5,27535.5,27442.6,0
195,1.94574,27535.5,27535.5,27535.7,1
196,1.90682,27535.7,27535.7,27497.5,0
197,1.86869,27535.7,27535.7,27527.6,0
198,1.83131,27535.7,27535.7,27480.2,0
199,1.79469,27535.7,27535.7,27531.8,0
200,1.75879,27535.7,27535.7,27522.7,0
201,1.72362,27535.7,27535.7,27546.8,1
202,1.68915,27546.8,27546.8,27516.9,0
203,1.65536,27546.8,27546.8,27535.7,0
204,1.62226,27546.8,27546.8,27561.9,1
205,1.58981,27561.9,27561.9,27495.8,0
206,1.55801,27561.9,27561.9,27535.8,0
207,1.52685,27561.9,27561.9,27583.3,1
208,1.49632,27583.3,27583.3,27558.9,0
209,1.46639,27583.3,27583.3,27569.8,0
210,1.43706,27583.3,27583.3,27579,0
211,1.40832,27583.3,27583.3,27537.2,0
212,1.38016,27583.3,27583.3,27557.2,0
213,1.35255,27583.3,27583.3,27434.5,0
214,1.3255,27583.3,27583.3,27512.4,0
215,1.29899,27583.3,27583.3,27576.7,0
216,1.27301,27583.3,27583.3,27474.9,0
217,1.24755,27583.3,27583.3,27560.4,0
218,1.2226,27583.3,27583.3,27443.4,0
219,1.19815,27583.3,27583.3,27593.3,1
220,1.17419,27593.3,27593.3,27504.7,0
221,1.1507,27593.3,27593.3,27554.3,0
222,1.12769,27593.3,27593.3,27474.8,0
223,1.10513,27593.3,27593.3,27522.3,0
224,1.08303,27593.3,27593.3,27558.7,0
225,1.06137,27593.3,27593.3,27582.4,0
226,1.04014,27593.3,27593.3,27536.8,0
227,1.01934,27593.3,27593.3,27542.7,0
228,0.998953,27593.3,27593.3,27591.8,0
229,0.978974,27593.3,27593.3,27605.4,1
230,0.959395,27605.4,27605.4,27448,0
231,0.940207,27605.4,27605.4,27588.4,0
232,0.921403,27605.4,27605.4,27586.3,0
233,0.902975,27605.4,27605.4,27502.1,0
234,0.884915,27605.4,27605.4,27593.3,0
235,0.867217,27605.4,27605.4,27544.4,0
236,0.849873,27605.4,27605.4,27525.3,0
237,0.832875,27605.4,27605.4,27497.7,0
238,0.816218,27605.4,27605.4,27576.6,0
239,0.799893,27605.4,27605.4,27591.9,0
240,0.783895,27605.4,27605.4,27607.8,1
241,0.768218,27607.8,27607.8,27536.9,0
242,0.752853,27607.8,27607.8,27536.9,0
243,0.737796,27607.8,27607.8,27536.9,0
244,0.72304,27607.8,27607.8,27579.1,0
245,0.708579,27607.8,27607.8,27607,0
246,0.694408,27607.8,27607.8,27596.7,0
247,0.68052,27607.8,27607.8,27607.2,1
248,0.666909,27607.2,27607.8,27502.4,0
249,0.653571,27607.2,27607.8,27600.7,0
250,0.6405,27607.2,27607.8,27536.5,0
251,0.62769,27607.2,27607.8,27575.4,0
252,0.615136,27607.2,27607.8,27592.1,0
253,0.602833,27607.2,27607.8,27552.4,0
254,0.590777,27607.2,27607.8,27528.3,0
255,0.578961,27607.2,27607.8,27480.4,0
256,0.567382,27607.2,27607.8,27519.2,0
257,0.556034,27607.2,27607.8,27572.6,0
258,0.544913,27607.2,27607.8,27615.1,1
259,0.534015,27615.1,27615.1,27559.5,0
260,0.523335,27615.1,27615.1,27519.9,0
261,0.512868,27615.1,27615.1,27514.8,0
262,0.502611,27615.1,27615.1,27561.1,0
263,0.492559,27615.1,27615.1,27602.1,0
264,0.482707,27615.1,27615.1,27586.6,0
265,0.473053,27615.1,27615.1,27603,0
266,0.463592,27615.1,27615.1,27605.2,0
267,0.45432,27615.1,27615.1,27605.9,0
268,0.445234,27615.1,27615.1,27578,0
269,0.436329,27615.1,27615.1,27559.7,0
270,0.427603,27615.1,27615.1,27610.2,0
271,0.419051,27615.1,27615.1,27591,0
272,0.41067,27615.1,27615.1,27608.3,0
273,0.402456,27615.1,27615.1,27651.7,1
274,0.394407,27651.7,27651.7,27576.9,0
275,0.386519,27651.7,27651.7,27616.5,0
276,0.378789,27651.7,27651.7,27506,0
277,0.371213,27651.7,27651.7,27580.8,0
278,0.363789,27651.7,27651.7,27558.4,0
279,0.356513,27651.7,27651.7,27649.6,0
280,0.349383,27651.7,27651.7,27652.4,1
281,0.342395,27652.4,27652.4,27619.3,0
282,0.335547,27652.4,27652.4,27682.9,1
283,0.328836,27682.9,27682.9,27660,0
284,0.322259,27682.9,27682.9,27703,1
285,0.315814,27703,27703,27632.1,0
286,0.309498,27703,27703,27693,0
287,0.303308,27703,27703,27652.7,0
288,0.297242,27703,27703,27693.7,0
289,0.291297,27703,27703,27685.7,0
290,0.285471,27703,27703,27632,0
291,0.279762,27703,27703,27644.5,0
292,0.274166,27703,27703,27661.5,0
293,0.268683,27703,27703,27637.5,0
294,0.263309,27703,27703,27644.4,0
295,0.258043,27703,27703,27702.2,0
296,0.252882,27703,27703,27670.2,0
297,0.247825,27703,27703,27701.5,0
298,0.242868,27703,27703,27613.1,0
299,0.238011,27703,27703,27605,0
300,0.233251,27703,27703,27624.9,0
301,0.228586,27703,27703,27505,0
302,0.224014,27703,27703,27618.2,0
303,0.219534,27703,27703,27612.5,0
304,0.215143,27703,27703,27675.6,0
305,0.21084,27703,27703,27605.7,0
306,0.206623,27703,27703,27565,0
307,0.202491,27703,27703,27658.1,0
308,0.198441,27703,27703,27648.7,0
309,0.194472,27703,27703,27657.5,0
310,0.190583,27703,27703,27580.4,0
311,0.186771,27703,27703,27679.4,0
312,0.183036,27703,27703,27716.2,1
313,0.179375,27716.2,27716.2,27718.4,1
314,0.175787,27718.4,27718.4,27668.1,0
315,0.172272,27718.4,27718.4,27651.9,0
316,0.168826,27718.4,27718.4,27708.6,0
317,0.16545,27718.4,27718.4,27694.8,0
318,0.162141,27718.4,27718.4,27637.5,0
319,0.158898,27718.4,27718.4,27719.6,1
320,0.15572,27719.6,27719.6,27645,0
321,0.152606,27719.6,27719.6,27655.6,0
322,0.149553,27719.6,27719.6,27720.6,1
323,0.146562,27720.6,27720.6,27698.6,0
324,0.143631,27720.6,27720.6,27644.4,0
325,0.140758,27720.6,27720.6,27699.2,0
326,0.137943,27720.6,27720.6,27669.4,0
327,0.135184,27720.6,27720.6,27642.5,0
328,0.132481,27720.6,27720.6,27649.5,0
329,0.129831,27720.6,27720.6,27660.2,0
330,0.127235,27720.6,27720.6,27606.2,0
331,0.12469,27720.6,27720.6,27725.3,1
332,0.122196,27725.3,27725.3,27766.2,1
333,0.119752,27766.2,27766.2,27661.8,0
334,0.117357,27766.2,27766.2,27691.4,0
335,0.11501,27766.2,27766.2,27725.3,0
336,0.11271,27766.2,27766.2,27715.3,0
